,B (m),Df (m),L/B,γ (kN/m³),ϕ (°),qlim (kPa)
0,0.6,0.3,2.0,9.85,34.9,270.0
1,0.6,0.0,2.0,10.2,37.7,200.0
2,0.6,0.3,2.0,10.2,37.7,570.0
3,0.6,0.0,2.0,10.85,44.8,860.0
4,0.6,0.3,2.0,10.85,44.8,1760.0
5,0.5,0.0,1.0,10.2,37.7,154.0
6,0.5,0.0,1.0,10.2,37.7,165.0
7,0.5,0.0,2.0,10.2,37.7,203.0
8,0.5,0.0,2.0,10.2,37.7,195.0
9,0.5,0.0,3.0,10.2,37.7,214.0
10,0.52,0.0,3.85,10.2,37.7,186.0
11,0.5,0.3,1.0,10.2,37.7,681.0
12,0.5,0.3,2.0,10.2,37.7,542.0
13,0.5,0.3,2.0,10.2,37.7,530.0
14,0.5,0.3,3.0,10.2,37.7,402.0
15,0.52,0.3,3.85,10.2,37.7,413.0
16,0.5,0.0,1.0,11.7,37.0,111.0
17,0.5,0.0,1.0,11.7,37.0,132.0
18,0.5,0.0,2.0,11.7,37.0,143.0
19,0.5,0.013,1.0,11.7,37.0,137.0
20,0.5,0.029,4.0,11.7,37.0,109.0
21,0.5,0.127,4.0,11.7,37.0,187.0
22,0.5,0.3,1.0,11.7,37.0,406.0
23,0.5,0.3,1.0,11.7,37.0,446.0
24,0.5,0.3,4.0,11.7,37.0,322.0
25,0.5,0.5,2.0,11.7,37.0,565.0
26,0.5,0.5,4.0,11.7,37.0,425.0
27,0.5,0.0,1.0,12.41,44.0,782.0
28,0.5,0.0,4.0,12.41,44.0,797.0
29,0.5,0.3,1.0,12.41,44.0,1940.0
30,0.5,0.3,1.0,12.41,44.0,2266.0
31,0.5,0.5,2.0,12.41,44.0,2847.0
32,0.5,0.5,4.0,12.41,44.0,2033.0
33,0.5,0.49,4.0,12.27,42.0,1492.0
34,0.5,0.0,1.0,11.77,37.0,123.0
35,0.5,0.0,2.0,11.77,37.0,134.0
36,0.5,0.3,1.0,11.77,37.0,370.0
37,0.5,0.5,2.0,11.77,37.0,464.0
38,0.5,0.0,4.0,12.0,40.0,461.0
39,0.5,0.5,4.0,12.0,40.0,1140.0
40,1.0,0.2,3.0,11.97,39.0,710.0
41,1.0,0.0,3.0,11.93,40.0,630.0
42,0.991,0.711,1.0,15.8,32.0,1773.7
43,3.004,0.762,1.0,15.8,32.0,1019.4
44,2.489,0.762,1.0,15.8,32.0,1158.0
45,1.492,0.762,1.0,15.8,32.0,1540.0
46,3.016,0.889,1.0,15.8,32.0,1161.2
47,0.0585,0.029,5.95,15.7,34.0,58.5
48,0.0585,0.058,5.95,15.7,34.0,70.91
49,0.0585,0.029,5.95,16.1,37.0,82.5
50,0.0585,0.058,5.95,16.1,37.0,98.93
51,0.0585,0.029,5.95,16.5,39.5,121.5
52,0.0585,0.058,5.95,16.5,39.5,142.9
53,0.0585,0.029,5.95,16.8,41.5,157.5
54,0.0585,0.058,5.95,16.8,41.5,184.9
55,0.0585,0.029,5.95,17.1,42.5,180.5
56,0.0585,0.058,5.95,17.1,42.5,211.0
57,0.094,0.047,6.0,15.7,34.0,74.7
58,0.094,0.094,6.0,15.7,34.0,91.5
59,0.094,0.047,6.0,16.1,37.0,104.8
60,0.094,0.094,6.0,16.1,37.0,127.5
61,0.094,0.047,6.0,16.5,39.5,155.8
62,0.094,0.094,6.0,16.5,39.5,185.6
63,0.094,0.047,6.0,16.8,41.5,206.8
64,0.094,0.094,6.0,16.8,41.5,244.6
65,0.094,0.047,6.0,17.1,42.5,235.6
66,0.094,0.094,6.0,17.1,42.5,279.6
67,0.152,0.075,5.95,15.7,34.0,98.2
68,0.152,0.15,5.95,15.7,34.0,122.3
69,0.152,0.075,5.95,16.1,37.0,143.3
70,0.152,0.15,5.95,16.1,37.0,176.4
71,0.152,0.075,5.95,16.5,39.5,211.2
72,0.152,0.15,5.95,16.5,39.5,254.5
73,0.152,0.075,5.95,16.8,41.5,285.3
74,0.152,0.15,5.95,16.8,41.5,342.5
75,0.152,0.075,5.95,17.1,42.5,335.3
76,0.152,0.15,5.95,17.1,42.5,400.6
77,0.094,0.047,1.0,15.7,34.0,67.7
78,0.094,0.094,1.0,15.7,34.0,90.5
79,0.094,0.047,1.0,16.1,37.0,98.8
80,0.094,0.094,1.0,16.1,37.0,131.5
81,0.094,0.047,1.0,16.5,39.5,147.8
82,0.094,0.094,1.0,16.5,39.5,191.6
83,0.094,0.047,1.0,16.8,41.5,196.8
84,0.094,0.094,1.0,16.8,41.5,253.6
85,0.094,0.047,1.0,17.1,42.5,228.8
86,0.094,0.094,1.0,17.1,42.5,295.6
87,0.152,0.075,1.0,15.7,34.0,91.2
88,0.152,0.15,1.0,15.7,34.0,124.4
89,0.152,0.075,1.0,16.1,37.0,135.2
90,0.152,0.15,1.0,16.1,37.0,182.4
91,0.152,0.075,1.0,16.5,39.5,201.2
92,0.152,0.15,1.0,16.5,39.5,264.5
93,0.152,0.075,1.0,16.8,41.5,276.3
94,0.152,0.15,1.0,16.8,41.5,361.5
95,0.152,0.075,1.0,17.1,42.5,325.3
96,0.152,0.15,1.0,17.1,42.5,423.6
97,0.08,0.0,1.0,17.2,42.8,133.0
98,0.15,0.0,1.0,17.2,42.8,246.0
99,0.05,0.0,1.0,17.2,42.8,109.0
100,0.08,0.0,1.0,17.1,42.8,130.0
101,0.1,0.0,1.0,17.1,42.8,152.0
102,0.15,0.0,1.0,17.1,42.8,214.0
103,0.2,0.0,1.0,17.1,42.8,266.0
104,0.25,0.0,1.0,17.1,42.8,333.0
105,0.3,0.0,1.0,17.1,42.8,404.0
106,0.03,0.0,1.0,15.89,42.0,52.0
107,0.04,0.0,1.0,15.89,42.0,92.0
108,0.05,0.0,1.0,15.89,42.0,95.0
109,0.06,0.0,1.0,13.2,32.0,14.0
110,0.06,0.0,1.0,14.8,42.0,72.0
111,0.06,0.0,1.0,15.4,42.0,106.0
112,1.1,0.72,1.18,16.0,36.2,1264.34
113,0.55,0.36,1.18,16.1,36.0,1029.37
114,1.1,0.72,1.18,16.0,30.0,139.86
115,1.6,1.04,1.13,8.6,30.0,461.11
116,0.55,0.36,1.18,16.1,30.0,416.78
117,0.3,0.0,1.0,16.0,34.0,166.67
118,0.46,0.0,1.0,16.1,34.0,236.29
119,0.46,0.0,1.0,16.1,34.0,274.1
120,0.61,0.0,1.0,16.1,34.0,268.74
121,0.91,0.0,1.0,16.0,34.0,234.27
